Employee_ID,Age,Gender,Job_Role,Monthly_Income,Job_Satisfaction,Work_Life_Balance,Distance_From_Home_KM,Num_Projects,Avg_Monthly_Hours,Years_at_Company,Years_Since_Last_Promotion,Training_Times_Last_Year,Education_Level,Attrition_Risk_Level,Age_Group,Income_Band,Over_worked_Flag,Promotion_Gap
EMP-00528,43,Male,"Data Scientist",11635,1,3,7.7,8,217.8,8,8,3,3,2,36-45,High,Yes,Yes
EMP-00554,30,Female,"Data Scientist",6260,1,2,4.5,4,164.5,5,4,2,5,2,26-35,Medium,No,Yes
EMP-00558,38,Male,"Data Scientist",9505,2,3,3.7,5,171.2,16,8,3,5,2,36-45,High,No,Yes
EMP-00559,44,Female,"HR Specialist",8964,2,3,4.7,6,164.4,9,9,6,4,2,36-45,Medium,No,Yes
EMP-00560,43,Female,"Software Engineer",11767,1,2,7.4,2,174.8,23,9,0,2,2,36-45,High,No,Yes
EMP-00566,48,Female,Analyst,11683,3,2,21.8,5,188.2,24,18,3,2,2,45+,High,No,Yes
EMP-00583,40,Male,Manager,9375,3,3,10.3,7,144.3,14,12,5,2,2,36-45,High,No,Yes
EMP-00588,39,Male,Manager,9487,4,2,13.8,2,154.2,10,10,5,3,2,36-45,High,No,Yes
EMP-00593,44,Male,"Sales Executive",7785,3,2,2.7,5,201.5,17,10,6,2,2,36-45,Medium,Yes,Yes
EMP-00602,45,Female,Manager,11519,2,3,4.5,5,169.6,15,15,6,2,2,36-45,High,No,Yes
EMP-00605,28,Female,"Data Scientist",8349,2,1,18.4,6,171.9,7,4,5,4,2,26-35,Medium,No,Yes
EMP-00609,35,Female,"HR Specialist",6303,1,3,19.5,5,170.7,13,10,2,3,2,26-35,Medium,No,Yes
EMP-00612,58,Male,Manager,14038,3,1,6.2,4,188.2,29,29,6,3,2,45+,High,No,Yes
EMP-00615,42,Male,"Sales Executive",9157,2,2,8.1,6,161.1,17,10,5,3,2,36-45,High,No,Yes
EMP-00622,48,Female,Manager,11167,3,2,1.4,5,177.4,21,21,3,3,2,45+,High,No,Yes
EMP-00623,43,Male,"HR Specialist",8731,3,4,20.1,5,182,17,13,5,3,2,36-45,Medium,No,Yes
EMP-00628,26,Male,"Data Scientist",7027,2,1,41.4,3,120.5,6,4,6,3,2,26-35,Medium,No,Yes
EMP-00629,37,Female,"Sales Executive",10199,3,3,34.6,6,170.6,11,8,0,3,2,36-45,High,No,Yes
EMP-00638,40,Male,"Software Engineer",10077,3,2,24.1,4,169.6,15,10,2,3,2,36-45,High,No,Yes
EMP-00642,48,Female,Manager,8768,4,3,31.1,3,152.4,18,11,0,3,2,45+,Medium,No,Yes
EMP-00643,53,Female,"Software Engineer",10605,4,1,11.7,7,137.3,32,17,4,3,2,45+,High,No,Yes
EMP-00656,38,Female,"Software Engineer",6733,4,1,9.1,2,163.4,14,11,1,2,2,36-45,Medium,No,Yes
EMP-00661,43,Female,"HR Specialist",10848,2,3,11.7,6,168.2,19,13,6,4,2,36-45,High,No,Yes
EMP-00664,30,Male,"Software Engineer",5948,1,2,7.9,3,207.9,6,6,5,4,2,26-35,Medium,Yes,Yes
EMP-00699,42,Male,Analyst,9071,2,3,31.9,6,201,21,17,2,3,2,36-45,High,Yes,Yes
EMP-00703,57,Male,"HR Specialist",13478,4,3,5.7,4,154.3,32,24,2,5,2,45+,High,No,Yes
EMP-00705,36,Female,"Data Scientist",8737,3,3,3.5,8,193.1,10,9,6,4,2,36-45,Medium,No,Yes
EMP-00708,40,Female,"Data Scientist",9234,4,4,6.6,4,197.4,19,15,4,2,2,36-45,High,No,Yes
EMP-00709,28,Male,"Data Scientist",5316,1,3,7.7,6,201.6,5,5,1,2,2,26-35,Medium,Yes,Yes
EMP-00718,31,Male,"Data Scientist",6817,4,2,10.6,5,216.1,8,7,5,2,2,26-35,Medium,Yes,Yes
EMP-00722,40,Female,"Sales Executive",7484,3,3,10.1,7,165,17,17,4,2,2,36-45,Medium,No,Yes
EMP-00725,35,Female,"Data Scientist",9203,1,2,24.4,5,206.4,12,12,0,2,2,26-35,High,Yes,Yes
EMP-00745,42,Female,"HR Specialist",9660,3,4,8.5,5,165.6,20,17,2,5,2,36-45,High,No,Yes
EMP-00751,47,Female,"HR Specialist",7211,2,2,5.4,2,166.5,8,6,3,3,2,45+,Medium,No,Yes
EMP-00763,30,Male,Manager,9186,3,1,8.6,6,213.9,7,7,2,1,2,26-35,High,Yes,Yes
EMP-00769,36,Male,Analyst,5843,1,2,4.7,5,179.4,7,6,3,2,2,36-45,Medium,No,Yes
EMP-00786,44,Female,"Sales Executive",10652,4,1,10.6,2,181.3,24,8,5,4,2,36-45,High,No,Yes
EMP-00789,33,Male,"Software Engineer",6650,3,3,25.2,8,157.2,12,9,0,2,2,26-35,Medium,No,Yes
EMP-00791,46,Female,"Data Scientist",8121,1,2,29,7,173.5,16,16,6,1,2,45+,Medium,No,Yes
EMP-00795,48,Male,"Software Engineer",12839,3,4,14.2,2,139.3,19,15,5,3,2,45+,High,No,Yes
EMP-00802,44,Female,"HR Specialist",9226,2,3,14.1,7,167.9,12,10,0,5,2,36-45,High,No,Yes
EMP-00818,38,Male,"HR Specialist",9393,1,2,8.7,7,173.4,15,9,1,3,2,36-45,High,No,Yes
EMP-00825,41,Male,Analyst,8115,3,1,8.6,7,160.2,11,9,3,2,2,36-45,Medium,No,Yes
EMP-00838,46,Male,"Data Scientist",8537,3,4,6.5,8,162.5,22,17,0,1,2,45+,Medium,No,Yes
EMP-00839,28,Female,"Sales Executive",7657,1,3,3.9,8,160.8,8,6,4,5,2,26-35,Medium,No,Yes
EMP-00846,43,Male,"Software Engineer",7273,2,2,14.9,4,128,22,22,4,5,2,36-45,Medium,No,Yes
EMP-00849,35,Female,Manager,6593,2,3,23.7,5,180.8,7,6,0,3,2,26-35,Medium,No,Yes
EMP-00857,43,Female,Manager,9638,2,2,2.5,3,188.1,17,11,4,3,2,36-45,High,No,Yes
EMP-00862,41,Female,Analyst,7918,3,4,12.1,5,167.9,16,12,2,5,2,36-45,Medium,No,Yes
EMP-00866,36,Male,Manager,6622,3,2,5.8,4,133.7,15,15,5,4,2,36-45,Medium,No,Yes
EMP-00868,51,Female,"HR Specialist",12804,1,3,8,5,182.5,27,13,6,3,2,45+,High,No,Yes
EMP-00871,48,Male,Manager,10328,3,4,9,4,163.6,26,14,0,4,2,45+,High,No,Yes
EMP-00872,30,Male,"Software Engineer",7849,1,1,11.7,4,137,5,4,3,3,2,26-35,Medium,No,Yes
EMP-00874,44,Male,"Software Engineer",9871,3,2,7.4,8,199.4,8,7,4,2,2,36-45,High,No,Yes
EMP-00878,33,Male,Manager,10105,1,3,12.2,7,176.9,12,8,2,4,2,26-35,High,No,Yes
EMP-00905,39,Male,"Data Scientist",6926,4,3,19.7,7,179.7,18,14,5,2,2,36-45,Medium,No,Yes
EMP-00907,40,Female,"Sales Executive",10113,4,1,33.9,5,162.5,14,14,5,2,2,36-45,High,No,Yes
EMP-00914,36,Female,"Sales Executive",6486,1,4,27.2,8,191.1,8,6,5,2,2,36-45,Medium,No,Yes
EMP-00943,44,Female,"Data Scientist",11059,2,1,1.9,3,207.7,11,7,3,5,2,36-45,High,Yes,Yes
EMP-00947,22,Male,"Data Scientist",3000,1,1,14.4,2,187,0,0,5,2,2,18-25,Low,No,No
EMP-00959,38,Female,"Software Engineer",8929,4,2,4,5,173.3,13,12,3,4,2,36-45,Medium,No,Yes
EMP-00963,35,Female,"Data Scientist",8774,3,2,14.9,7,131.6,14,11,3,4,2,26-35,Medium,No,Yes
EMP-00968,39,Female,"Sales Executive",9214,1,4,3.4,6,177.9,19,16,0,4,2,36-45,High,No,Yes
EMP-00977,37,Female,Manager,10285,3,4,12.5,8,192.3,15,14,5,2,2,36-45,High,No,Yes
EMP-00983,34,Male,"Data Scientist",7328,4,2,4.9,7,189.6,11,11,5,3,2,26-35,Medium,No,Yes
EMP-00988,45,Female,Analyst,8539,3,4,18.6,5,134.7,18,14,1,4,2,36-45,Medium,No,Yes
EMP-00997,28,Male,"Sales Executive",5996,1,1,13.8,4,187.6,3,3,2,3,2,26-35,Medium,No,Yes
EMP-00998,34,Male,Manager,5715,2,1,12.4,2,157.1,13,9,1,3,2,26-35,Medium,No,Yes
EMP-01015,39,Female,"HR Specialist",7939,4,2,8.1,2,197.6,14,10,4,2,2,36-45,Medium,No,Yes
EMP-01031,37,Female,"Data Scientist",8667,3,3,5.7,3,149,13,11,1,3,2,36-45,Medium,No,Yes
EMP-01042,34,Male,"Data Scientist",6399,4,2,1,5,202.2,9,8,5,3,2,26-35,Medium,Yes,Yes
EMP-01045,36,Male,"Sales Executive",11189,1,4,5.5,5,223.9,15,7,2,5,2,36-45,High,Yes,Yes
EMP-01053,44,Male,"Software Engineer",11414,4,3,10.8,6,188.4,19,12,2,4,2,36-45,High,No,Yes
EMP-01055,39,Male,Analyst,8049,3,4,4,3,195.8,13,12,2,3,2,36-45,Medium,No,Yes
EMP-01069,31,Female,Manager,6356,3,2,3.8,2,171.9,9,9,5,5,2,26-35,Medium,No,Yes
EMP-01070,47,Female,"HR Specialist",10483,1,2,3.8,8,154.1,11,8,0,3,2,45+,High,No,Yes
EMP-01077,32,Female,Analyst,7514,3,1,6.9,6,175.9,8,7,6,4,2,26-35,Medium,No,Yes
EMP-01083,44,Female,Manager,8470,3,3,1.5,4,179,16,13,6,1,2,36-45,Medium,No,Yes
EMP-01089,30,Female,"Data Scientist",5970,2,2,24.4,6,209.8,7,5,0,2,2,26-35,Medium,Yes,Yes
EMP-01097,49,Male,"HR Specialist",8154,3,4,9.5,6,162.8,26,16,1,2,2,45+,Medium,No,Yes
EMP-01100,38,Female,Analyst,8608,4,3,8,7,126.9,13,13,6,1,2,36-45,Medium,No,Yes
EMP-01106,40,Male,Manager,7767,4,3,3.3,3,150.1,16,16,0,1,2,36-45,Medium,No,Yes
EMP-01109,56,Female,"Sales Executive",10347,3,2,5.3,6,167.9,28,24,3,3,2,45+,High,No,Yes
EMP-01113,43,Male,"HR Specialist",8248,3,3,8.7,5,181.7,17,14,6,2,2,36-45,Medium,No,Yes
EMP-01121,42,Female,"Data Scientist",10530,4,3,6.3,8,176.7,12,12,0,3,2,36-45,High,No,Yes
EMP-01123,41,Female,"Data Scientist",10572,4,2,19.3,5,161.3,17,10,3,5,2,36-45,High,No,Yes
EMP-01144,37,Female,"Data Scientist",7807,3,4,13.6,2,171.8,16,15,6,4,2,36-45,Medium,No,Yes
EMP-01145,40,Female,Manager,9567,1,1,18.5,3,185.6,16,14,5,3,2,36-45,High,No,Yes
EMP-01152,45,Male,"Data Scientist",10422,3,3,6.8,8,197.5,17,12,6,1,2,36-45,High,No,Yes
EMP-01156,41,Male,"Software Engineer",11080,3,3,7.4,5,126.2,19,19,3,4,2,36-45,High,No,Yes
EMP-01158,39,Male,"Sales Executive",9900,2,3,13.8,6,193.1,16,15,1,3,2,36-45,High,No,Yes
EMP-01159,50,Male,Analyst,8918,4,3,7.8,3,190.9,19,14,2,3,2,45+,Medium,No,Yes
EMP-01161,34,Female,Manager,6522,4,2,5.7,5,214.3,14,10,1,2,2,26-35,Medium,Yes,Yes
EMP-01165,31,Male,"HR Specialist",6564,4,3,10.3,7,183.4,10,10,1,2,2,26-35,Medium,No,Yes
EMP-01166,45,Female,"Software Engineer",9185,3,3,1.5,2,161.7,21,21,0,1,2,36-45,High,No,Yes
EMP-01171,39,Female,"Software Engineer",6591,2,1,7.1,2,167.2,11,9,0,5,2,36-45,Medium,No,Yes
EMP-01181,53,Male,Manager,11120,2,2,3.6,6,152.2,16,15,0,5,2,45+,High,No,Yes
EMP-01204,35,Male,Manager,10123,1,2,31.7,2,213.6,6,5,2,3,2,26-35,High,Yes,Yes
EMP-01206,45,Female,Analyst,11653,3,2,13,5,214.1,19,10,4,3,2,36-45,High,Yes,Yes
EMP-01208,35,Male,"Sales Executive",9324,3,3,1.6,6,142.7,14,12,1,3,2,26-35,High,No,Yes
EMP-01210,36,Male,Manager,6765,4,3,2.8,7,172.2,12,11,1,4,2,36-45,Medium,No,Yes
EMP-01217,27,Female,"Software Engineer",4676,1,4,4.4,8,171.7,7,6,3,2,2,26-35,Low,No,Yes
EMP-01218,32,Male,"Data Scientist",9455,3,1,13.4,8,120,8,8,3,3,2,26-35,High,No,Yes
EMP-01225,43,Female,Manager,10391,2,2,11.3,3,222,20,19,2,3,2,36-45,High,Yes,Yes
EMP-01231,41,Male,"Data Scientist",7472,4,3,6,6,173.3,21,12,0,2,2,36-45,Medium,No,Yes
EMP-01233,37,Male,Manager,10143,3,2,8.5,8,165.9,14,12,2,4,2,36-45,High,No,Yes
EMP-01235,47,Female,"Data Scientist",7711,3,4,11.1,2,180.4,26,17,3,3,2,45+,Medium,No,Yes
EMP-01251,34,Male,Manager,8901,1,2,18.9,6,177.7,10,3,4,1,2,26-35,Medium,No,Yes
EMP-01252,44,Male,Analyst,8534,4,3,7,6,140.5,20,18,4,2,2,36-45,Medium,No,Yes
EMP-01257,40,Female,"HR Specialist",8727,2,3,3.2,5,198.9,11,9,5,2,2,36-45,Medium,No,Yes
EMP-01258,44,Female,Analyst,8978,2,2,10,4,167.6,14,8,4,4,2,36-45,Medium,No,Yes
EMP-01259,40,Male,"Sales Executive",8498,3,2,5.9,7,143.1,20,17,0,5,2,36-45,Medium,No,Yes
EMP-01279,34,Female,Manager,8348,1,3,12.2,5,138.6,10,9,6,4,2,26-35,Medium,No,Yes
EMP-01304,38,Female,"HR Specialist",7639,1,1,25.5,4,140,12,9,0,1,2,36-45,Medium,No,Yes
EMP-01307,42,Male,"Sales Executive",9714,1,2,14,5,169.8,17,14,1,5,2,36-45,High,No,Yes
EMP-01314,39,Male,"Sales Executive",7164,4,4,15.6,5,176.6,15,12,5,2,2,36-45,Medium,No,Yes
EMP-01322,47,Female,Manager,8200,3,2,1,3,185.9,20,15,3,2,2,45+,Medium,No,Yes
EMP-01323,44,Male,"Sales Executive",8312,3,1,11.6,8,147.7,13,7,1,4,2,36-45,Medium,No,Yes
EMP-01329,60,Female,Manager,11537,4,2,2.9,8,127.8,30,16,2,3,2,45+,High,No,Yes
EMP-01357,34,Male,"HR Specialist",8740,4,3,3.4,4,147.1,14,12,0,5,2,26-35,Medium,No,Yes
EMP-01358,42,Female,"Software Engineer",9870,3,3,28.4,8,128.8,18,10,5,3,2,36-45,High,No,Yes
EMP-01359,44,Female,"Software Engineer",9563,3,4,4.3,2,178.9,17,17,5,3,2,36-45,High,No,Yes
EMP-01365,45,Male,"Software Engineer",7942,4,1,4,2,167.7,16,15,0,5,2,36-45,Medium,No,Yes
EMP-01390,40,Female,Analyst,10697,2,3,6.4,3,194.7,18,11,4,1,2,36-45,High,No,Yes
EMP-01393,31,Male,"Data Scientist",8639,4,1,4.3,3,194.8,8,7,3,2,2,26-35,Medium,No,Yes
EMP-01398,40,Female,Manager,10037,3,2,7.7,4,211,18,18,4,3,2,36-45,High,Yes,Yes
EMP-01403,36,Male,"Data Scientist",7959,4,3,8.1,8,198.6,13,12,1,2,2,36-45,Medium,No,Yes
EMP-01404,47,Female,"Sales Executive",9467,3,3,9.1,7,189.5,25,15,0,4,2,45+,High,No,Yes
EMP-01413,35,Female,"Software Engineer",8603,2,1,7.6,6,183.8,6,5,3,3,2,26-35,Medium,No,Yes
EMP-01420,51,Female,Manager,7952,4,3,24.6,7,182.7,14,12,2,4,2,45+,Medium,No,Yes
EMP-01425,39,Male,"Software Engineer",8558,4,4,17.3,5,158.6,16,16,0,4,2,36-45,Medium,No,Yes
EMP-01426,39,Female,"Data Scientist",10769,3,4,1.4,6,194.7,16,14,2,3,2,36-45,High,No,Yes
EMP-01430,39,Female,"Sales Executive",7712,3,2,2.5,2,173,16,11,3,4,2,36-45,Medium,No,Yes
EMP-01433,33,Female,"Software Engineer",9489,2,4,22.8,4,192.2,9,8,2,3,2,26-35,High,No,Yes
EMP-01441,31,Male,"Software Engineer",6993,3,3,19.4,5,149.4,11,10,2,5,2,26-35,Medium,No,Yes
EMP-01442,43,Female,"Sales Executive",10406,3,3,5,3,167.1,22,21,5,2,2,36-45,High,No,Yes
EMP-01459,39,Female,"Data Scientist",7454,4,2,17.1,3,157.8,14,9,5,3,2,36-45,Medium,No,Yes
EMP-01477,42,Female,Analyst,7873,1,2,23.5,2,206.9,18,16,2,5,2,36-45,Medium,Yes,Yes
EMP-01487,27,Male,"HR Specialist",5670,2,2,31.8,7,184.3,6,4,6,3,2,26-35,Medium,No,Yes
EMP-01500,47,Female,"Sales Executive",12341,4,3,44.7,4,166.4,19,14,4,3,2,45+,High,No,Yes
EMP-01506,42,Female,"HR Specialist",9771,3,2,12.3,4,163.8,20,19,2,3,2,36-45,High,No,Yes
EMP-01512,34,Male,"Data Scientist",10438,2,1,1.7,4,178,10,10,5,4,2,26-35,High,No,Yes
EMP-01528,36,Female,Manager,7932,4,3,30.8,4,171.4,16,12,6,3,2,36-45,Medium,No,Yes
EMP-01530,41,Male,"Software Engineer",7010,1,3,12.3,8,153.8,6,6,6,2,2,36-45,Medium,No,Yes
EMP-01532,38,Male,"HR Specialist",10157,1,3,12.4,7,179.6,10,6,5,4,2,36-45,High,No,Yes
EMP-01533,45,Female,"Data Scientist",9424,3,1,13.7,3,131.7,23,19,5,3,2,36-45,High,No,Yes
EMP-01542,31,Male,"HR Specialist",4981,1,2,1.5,6,178.5,5,3,4,5,2,26-35,Low,No,Yes
EMP-01551,43,Male,"Sales Executive",10210,2,4,16.9,4,186.8,15,8,5,4,2,36-45,High,No,Yes
EMP-01552,41,Male,"HR Specialist",6256,1,2,10.9,4,183.1,10,4,3,4,2,36-45,Medium,No,Yes
EMP-01555,43,Female,"Software Engineer",9400,3,3,5.7,6,139.5,12,11,6,3,2,36-45,High,No,Yes
EMP-01571,45,Female,Analyst,8250,2,2,6.8,4,173.5,18,12,2,4,2,36-45,Medium,No,Yes
EMP-01573,34,Male,"Data Scientist",8750,2,2,26.8,2,161.5,8,6,6,2,2,26-35,Medium,No,Yes
EMP-01582,37,Female,"HR Specialist",10343,2,4,9,8,143.4,13,10,6,4,2,36-45,High,No,Yes
EMP-01584,39,Female,"HR Specialist",10080,2,3,19.9,7,162.1,17,11,6,3,2,36-45,High,No,Yes
EMP-01587,40,Female,"Data Scientist",7806,2,2,6.8,7,189.7,11,7,3,3,2,36-45,Medium,No,Yes
